propertyna,latitude,longitude,borough
Bushwick Playground,40.695839,-73.911709,Brooklyn
Reiff Playground,40.718143,-73.901523,Queens
Roberto Clemente Ballfield,40.70623,-73.967207,Brooklyn
Juniper Valley Park,40.720434,-73.877347,Queens
Franklin D. Roosevelt Boardwalk and Beach,40.578856,-74.077724,Staten Island
Gouverneur Playground,40.835804,-73.903302,Bronx
Clove Lakes Park,40.618224,-74.107337,Staten Island
Wingate Park,40.659255,-73.944641,Brooklyn
Springfield Park,40.65979,-73.762667,Queens
Commodore Barry Park,40.697534,-73.979084,Brooklyn
Riverside Park South,40.773792,-73.993183,Manhattan
Kaltenmeier Playground,40.614849,-74.068563,Staten Island
Samuel Seabury Playground,40.785453,-73.950933,Manhattan
Horace Harding Playground,40.733428,-73.860953,Queens
Frank D. O'Connor Playground,40.744112,-73.886413,Queens
"Phil ""Scooter"" Rizzuto Park",40.694736,-73.821166,Queens
Bushwick Inlet Park,40.721913,-73.960596,Brooklyn
Franklin D. Roosevelt Boardwalk and Beach,40.567928,-74.09114,Staten Island
Millbrook Playground,40.804297,-73.916449,Bronx
Bloomingdale Park,40.535104,-74.20835,Staten Island
Millbrook Playground,40.804086,-73.916544,Bronx
Bay Terrace Playground,40.782301,-73.777272,Queens
Noble Playground,40.836738,-73.871778,Bronx
Fort Tryon Park,40.863806,-73.930287,Manhattan
Moore Playground,40.809472,-73.938724,Manhattan
Faber Pool and Park,40.641012,-74.135357,Staten Island
Riverside Park,40.802149,-73.97167,Manhattan
St. Michael's Playground,40.759576,-73.900435,Queens
Flushing Meadows Corona Park,40.765514,-73.861936,Queens
Van Cortlandt Park,40.886834,-73.898504,Bronx
St. Nicholas Park,40.815526,-73.948989,Manhattan
Underwood Park,40.688838,-73.966717,Brooklyn
Ewen Park,40.882759,-73.909341,Bronx
Flushing Meadows Corona Park,40.747166,-73.836415,Queens
Robert E. Venable Park,40.674614,-73.86575,Brooklyn
Collect Pond Park,40.716021,-74.001724,Manhattan
Prospect Park,40.666899,-73.973706,Brooklyn
Arverne Playground,40.592988,-73.785263,Queens
Harvey Park,40.783751,-73.822784,Queens
John Jay Park,40.769719,-73.948837,Manhattan
Silver Lake Park,40.628598,-74.09159,Staten Island
John Allen Payne Playground,40.639604,-74.023706,Brooklyn
Laurelton Playground,40.670439,-73.736306,Queens
Coney Island Beach & Boardwalk,40.575054,-73.959337,Brooklyn
Randall's Island Park,40.794434,-73.918884,Manhattan
Franklin D. Roosevelt Boardwalk and Beach,40.574242,-74.083064,Staten Island
Latimer Playground,40.696491,-73.785982,Queens
Jackie Robinson Park Playground,40.680015,-73.927312,Brooklyn
Travers Park,40.753643,-73.889626,Queens
Flynn Playground,40.820898,-73.911891,Bronx
Battery Park City,40.715772,-74.016726,Manhattan
Alley Pond Park,40.743189,-73.742136,Queens
St. Mary's Park,40.811468,-73.914103,Bronx
Central Park,40.766243,-73.976386,Manhattan
Washington Square Park,40.730763,-73.998191,Manhattan
Tony Dapolito Recreation Center,40.729629,-74.005434,Manhattan
Dome Playground,40.638098,-73.980144,Brooklyn
Sherman Creek,40.860203,-73.918558,Manhattan
Central Park,40.797433,-73.951544,Manhattan
Bergen Beach Playground,40.622537,-73.909578,Brooklyn
St. Mary's Park,40.809084,-73.911248,Bronx
Riverdale Playground,40.887359,-73.914262,Bronx
Davidson Playground,40.854981,-73.9077,Bronx
