neighborhood_tabulation_area_nta,latitude,longitude,boro
Carroll Gardens-Columbia Street-Red Hook,40.681346,-73.994047,Brooklyn
Elmhurst,40.74835,-73.876523,Queens
West Brighton,40.57862,-73.97231,Brooklyn
Upper West Side,40.789541,-73.969644,Manhattan
West Concourse,40.831543,-73.922645,Bronx
Hudson Yards-Chelsea-Flatiron-Union Square,40.742689,-74.000238,Manhattan
Richmond Hill,40.697047,-73.837293,Queens
Yorkville,40.778792,-73.953663,Manhattan
Brownsville,40.672128,-73.903459,Brooklyn
Upper West Side,40.790053,-73.974767,Manhattan
Brooklyn Heights-Cobble Hill,40.699342,-73.992187,Brooklyn
Hudson Yards-Chelsea-Flatiron-Union Square,40.737906,-73.997921,Manhattan
Forest Hills,40.726695,-73.853929,Queens
Murray Hill-Kips Bay,40.744407,-73.983132,Manhattan
Hudson Yards-Chelsea-Flatiron-Union Square,40.741515,-73.993963,Manhattan
Carroll Gardens-Columbia Street-Red Hook,40.6727272,-74.0120061,Brooklyn
Hudson Yards-Chelsea-Flatiron-Union Square,40.744243,-73.989016,Manhattan
Crown Heights North,40.675141,-73.956281,Brooklyn
Morningside Heights,40.809412,-73.95903,Manhattan
Erasmus,40.65532,-73.949966,Brooklyn
Murray Hill-Kips Bay,40.747788,-73.976777,Manhattan
Midtown-Midtown South,40.760527,-73.983538,Manhattan
